id,name_of_interviewer,district,female,age_40_and_above,farmer_laborer,health_yes_some_diff_2,health_yes_a_lot_3,caste_BC,caste_NGTJ,caste_Dal,caste_Other,are_main_problems_addressed,biggest_prob,satisfied_with_gov,top_thing_gov,information_about_gov_support,a_Top_need_info,satisfied_with_ngos,a_Top_need_NGOs,is_support_fair,a_Top_reason_not_fair,prepared_for_winter,have_been_heard,relief_effort_progress,a_Top_problem_women
723068,Keshav Paudel,Kavrepalanchok,0,0,1,0,0,1,0,0,0,1.0,long_term_shelter__housing,1.0,building_mater,1.0,finding_missing_people,1.0,building_mater,1.0,based_on_polit,1.0,1.0,1.0,
723070,Arjun Prasad Paudel,Rasuwa,0,1,0,1,0,0,1,0,0,1.0,long_term_shelter__housing,2.0,cash_for_work,1.0,news_about_government_decision,2.0,cash_for_work,4.0,,2.0,1.0,4.0,
723142,Arjun Prasad Paudel,Rasuwa,0,0,1,0,0,0,0,0,1,1.0,long_term_shelter__housing,2.0,building_mater,1.0,news_about_government_decision,2.0,building_mater,2.0,based_on_caste,2.0,1.0,2.0,
723145,Dhamendra Dahal,Makwanpur,0,1,1,0,0,0,1,0,0,1.0,housing_inspections,1.0,housing_inspec,2.0,how_to_register_for_access_sup,2.0,housing_inspec,1.0,based_on_polit,1.0,1.0,1.0,
723147,Maheswor Subedi,Dhading,0,1,1,0,0,0,1,0,0,1.0,long_term_shelter__housing,2.0,housing_inspec,4.0,,1.0,building_mater,2.0,other,4.0,1.0,2.0,
723146,Bidur Acharya,Sindhupalchowk,1,1,1,0,0,0,1,0,0,2.0,long_term_shelter__housing,2.0,other,2.0,news_about_government_decision,3.0,other,3.0,based_on_dista,2.0,3.0,3.0,healthcare
723139,Umesh Thapa,Bhaktapur,0,0,0,0,0,1,0,0,0,2.0,long_term_shelter__housing,2.0,building_mater,2.0,how_to_get_shelter_materials,2.0,building_mater,2.0,first_come__fi,1.0,1.0,1.0,
723137,Bidur Acharya,Sindhupalchowk,0,1,1,0,0,0,1,0,0,3.0,long_term_shelter__housing,2.0,other,2.0,news_about_government_decision,2.0,other,4.0,,2.0,2.0,3.0,
723212,Maheswor Subedi,Dhading,0,0,0,0,0,0,1,0,0,2.0,long_term_shelter__housing,4.0,,5.0,,2.0,building_mater,1.0,based_on_caste,4.0,,,
723209,Bidur Acharya,Sindhupalchowk,1,0,1,0,0,1,0,0,0,2.0,long_term_shelter__housing,4.0,,2.0,other,2.0,other,2.0,based_on_polit,1.0,2.0,3.0,long_term_shelter__housing
723213,Umesh thapa,Bhaktapur,1,0,0,0,0,0,1,0,0,2.0,toilets_sanitation,3.0,housing_inspec,4.0,,2.0,housing_inspec,2.0,first_come__fi,3.0,1.0,1.0,toilets_sanitation
723214,Santosh Gurung,Rasuwa,0,1,0,0,0,0,1,0,0,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,5.0,5.0,
723203,Dhamendra Dahal,Makwanpur,0,0,0,0,0,1,0,0,0,1.0,long_term_shelter__housing,1.0,building_mater,2.0,news_about_government_decision,1.0,housing_inspec,1.0,based_on_polit,1.0,2.0,2.0,
723201,Prakash Magarati,Sindhuli,1,1,1,0,0,1,0,0,0,1.0,long_term_shelter__housing,3.0,building_mater,4.0,,1.0,building_mater,5.0,,1.0,3.0,1.0,long_term_shelter__housing
723204,Santosh Gurung,Rasuwa,0,1,0,0,0,0,1,0,0,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,5.0,5.0,
723446,Prakash Magarati,Sindhuli,1,1,1,1,0,0,0,0,1,1.0,long_term_shelter__housing,5.0,,4.0,,4.0,,4.0,,1.0,1.0,1.0,financial_support
723447,umesh thapa,Bhaktapur,0,1,1,1,0,0,1,0,0,1.0,long_term_shelter__housing,2.0,building_mater,2.0,how_to_register_for_access_sup,1.0,building_mater,2.0,first_come__fi,1.0,1.0,1.0,
723558,Namin prajapati,Bhaktapur,0,1,0,0,0,1,0,0,0,4.0,,2.0,building_mater,2.0,how_to_register_for_access_sup,2.0,building_mater,3.0,first_come__fi,3.0,2.0,1.0,
723559,Bidur Acharya,Sindhupalchowk,0,0,1,0,0,0,1,0,0,1.0,long_term_shelter__housing,1.0,cash_for_work,5.0,,4.0,,4.0,,1.0,2.0,4.0,
723560,Sarita Dahal,Makwanpur,1,0,1,0,0,0,1,0,0,5.0,,4.0,,4.0,,1.0,building_mater,2.0,based_on_dista,2.0,1.0,4.0,
723561,Nabaraj Shrestha,Ramechhap,0,0,1,1,0,1,0,0,0,1.0,long_term_shelter__housing,1.0,cash_for_work,1.0,how_to_get_shelter_materials,4.0,,4.0,,1.0,1.0,2.0,
723548,sarita sapkota,Kavrepalanchok,0,1,1,1,0,1,0,0,0,1.0,long_term_shelter__housing,2.0,building_mater,1.0,how_to_get_shelter_materials,1.0,building_mater,1.0,based_on_polit,1.0,1.0,2.0,
723557,Dev Bahadur B.K,Rasuwa,0,0,1,1,0,0,1,0,0,1.0,long_term_shelter__housing,4.0,,5.0,,5.0,,5.0,,5.0,5.0,4.0,
723575,Goma Khatri,Sindhupalchowk,1,0,1,1,0,1,0,0,0,1.0,healthcare,1.0,building_mater,5.0,,2.0,building_mater,1.0,based_on_caste,1.0,1.0,1.0,long_term_shelter__housing
723586,sarita sapkota,Kavrepalanchok,1,1,1,1,0,1,0,0,0,1.0,long_term_shelter__housing,2.0,cash_for_work,1.0,how_to_get_healthcare_psycholo,3.0,building_mater,1.0,based_on_caste,1.0,1.0,,toilets_sanitation
723587,Dev Bahadur B.K,Rasuwa,1,1,1,0,1,0,1,0,0,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,5.0,5.0,long_term_shelter__housing
723589,Ramesh Darai,Dhading,1,0,1,0,0,0,1,0,0,2.0,long_term_shelter__housing,2.0,cash_for_work,2.0,news_about_government_decision,4.0,,4.0,,4.0,2.0,3.0,long_term_shelter__housing
723590,bhimraj gurung,Gorkha,0,1,0,0,1,0,0,0,1,1.0,long_term_shelter__housing,3.0,cash_for_work,4.0,,3.0,building_mater,4.0,,3.0,3.0,4.0,
723533,Bidur Acharya,Sindhupalchowk,1,1,0,0,0,0,1,0,0,2.0,long_term_shelter__housing,1.0,cash_for_work,1.0,how_to_get_shelter_materials,4.0,,4.0,,1.0,2.0,4.0,long_term_shelter__housing
723542,Subash Krishna Koirala,Sindhuli,0,1,0,0,0,0,1,0,0,4.0,,2.0,building_mater,5.0,,5.0,,4.0,,5.0,,4.0,
723524,sarita sapkota,Kavrepalanchok,0,0,0,0,0,1,0,0,0,2.0,short_term_she,2.0,cash_for_work,1.0,news_about_government_decision,1.0,building_mater,4.0,,1.0,1.0,1.0,
723525,Ramesh Darai,Dhading,0,0,0,0,0,0,1,0,0,4.0,,1.0,cash_for_work,4.0,,2.0,cash_for_work,4.0,,1.0,4.0,4.0,
723526,Sarita Dahal,Makwanpur,1,1,1,0,1,0,1,0,0,1.0,long_term_shelter__housing,1.0,building_mater,2.0,news_about_government_decision,1.0,building_mater,1.0,based_on_dista,1.0,1.0,3.0,financial_support
723527,Goma Khatri,Sindhupalchowk,0,1,1,0,1,1,0,0,0,1.0,long_term_shelter__housing,5.0,,1.0,how_to_register_for_access_sup,5.0,,1.0,based_on_polit,1.0,1.0,2.0,
723591,Sarita Dahal,Makwanpur,0,1,1,0,1,0,1,0,0,1.0,long_term_shelter__housing,2.0,building_mater,1.0,news_about_government_decision,1.0,food_aid,2.0,based_on_dista,1.0,,2.0,
723592,Bishal Adhikari,Gorkha,0,1,0,0,0,0,0,1,0,1.0,long_term_shelter__housing,1.0,cash_for_work,4.0,,3.0,cash_for_work,5.0,,1.0,3.0,3.0,
723893,Nabaraj Shrestha,Ramechhap,1,1,1,1,0,0,1,0,0,1.0,long_term_shelter__housing,1.0,building_mater,1.0,how_to_get_shelter_materials,5.0,,5.0,,4.0,1.0,3.0,long_term_shelter__housing
723954,Nabaraj Shrestha,Ramechhap,0,0,0,0,0,0,1,0,0,1.0,long_term_shelter__housing,1.0,cash_for_work,1.0,how_to_register_for_access_sup,1.0,cash_for_work,5.0,,1.0,1.0,2.0,
724971,santosh raut,Dolakha,0,0,0,0,0,0,0,1,0,1.0,long_term_shelter__housing,1.0,cash_for_work,2.0,news_about_government_decision,2.0,cash_for_work,2.0,based_on_polit,2.0,2.0,1.0,
724972,Sunita Khadka,Dolakha,1,0,1,0,0,1,0,0,0,1.0,long_term_shelter__housing,5.0,,1.0,how_to_get_shelter_materials,4.0,,5.0,,1.0,1.0,2.0,long_term_shelter__housing
724975,Ram Saran Dulal,Makwanpur,0,0,1,0,0,0,1,0,0,2.0,short_term_she,1.0,building_mater,2.0,news_about_government_decision,,,1.0,based_on_polit,4.0,1.0,1.0,
739999,Kalpana Adhikari,Nuwakot,0,1,1,0,0,1,0,0,0,1.0,long_term_shelter__housing,1.0,building_mater,1.0,news_about_government_decision,1.0,building_mater,1.0,based_on_caste,1.0,1.0,,
724385,Ram Sharan Adhikari,Dhading,1,1,1,1,0,1,0,0,0,1.0,long_term_shelter__housing,1.0,building_mater,1.0,news_about_government_decision,1.0,building_mater,,,4.0,1.0,1.0,long_term_shelter__housing
724386,Bijaya Neupane,Rasuwa,0,0,0,0,0,0,1,0,0,4.0,,,,5.0,,5.0,,5.0,,5.0,2.0,5.0,
724382,Bishal Adhikari,Gorkha,1,0,1,1,0,0,1,0,0,3.0,long_term_shelter__housing,3.0,building_mater,4.0,,3.0,building_mater,5.0,,3.0,1.0,4.0,long_term_shelter__housing
724387,laxman pd bhattarai,Bhaktapur,0,0,1,0,0,0,1,0,0,3.0,long_term_shelter__housing,4.0,,4.0,,5.0,,4.0,,3.0,4.0,3.0,
724389,Sujan Bidari,Makwanpur,0,0,0,0,0,1,0,0,0,5.0,,5.0,,5.0,,1.0,building_mater,5.0,,5.0,5.0,4.0,
724388,Keshav Paudel,Kavrepalanchok,1,1,1,0,0,1,0,0,0,2.0,long_term_shelter__housing,2.0,building_mater,1.0,how_to_register_for_access_sup,2.0,cash_for_work,1.0,based_on_caste,1.0,1.0,2.0,long_term_shelter__housing
725372,Renu Shrestha,Gorkha,1,1,1,0,0,1,0,0,0,4.0,,4.0,,4.0,,4.0,,4.0,,5.0,4.0,4.0,short_term_shelter__tent_shelt
725374,Rajkumar Parajuli,Kavrepalanchok,0,1,1,0,0,1,0,0,0,1.0,long_term_shelter__housing,1.0,building_mater,2.0,news_about_government_decision,1.0,building_mater,1.0,based_on_dista,5.0,2.0,2.0,
735657,Jharana Rai,Kathmandu,0,1,1,1,0,1,0,0,0,3.0,financial_support,3.0,building_mater,4.0,,3.0,building_mater,3.0,based_on_polit,3.0,3.0,3.0,
735653,paras Ranjit,Lalitpur,0,1,1,0,0,0,1,0,0,1.0,long_term_shelter__housing,1.0,building_mater,4.0,,5.0,,4.0,,2.0,1.0,1.0,
735616,Jharana Rai,Kathmandu,1,0,1,0,0,0,1,0,0,4.0,,3.0,building_mater,4.0,,4.0,,4.0,,4.0,3.0,2.0,
735613,Paras Ranjit,Lalitpur,0,1,0,0,0,1,0,0,0,2.0,long_term_shelter__housing,1.0,building_mater,4.0,,4.0,,4.0,,4.0,1.0,1.0,
735551,Paras Ranjit,Lalitpur,0,1,0,0,0,1,0,0,0,3.0,long_term_shelter__housing,1.0,building_mater,5.0,,2.0,building_mater,1.0,based_on_polit,5.0,1.0,1.0,
735553,Jharana Rai,Kathmandu,1,0,0,0,0,0,1,0,0,3.0,long_term_shelter__housing,3.0,building_mater,4.0,,2.0,building_mater,4.0,,4.0,4.0,3.0,
735543,Anjal Bhatta,Kathmandu,0,1,0,0,0,1,0,0,0,2.0,long_term_shelter__housing,3.0,building_mater,4.0,,2.0,building_mater,3.0,based_on_polit,4.0,3.0,3.0,
735542,Jharana Rai,Kathmandu,1,1,0,0,0,0,1,0,0,2.0,long_term_shelter__housing,2.0,building_mater,2.0,how_to_register_for_access_sup,2.0,building_mater,2.0,based_on_polit,4.0,3.0,3.0,long_term_shelter__housing
735533,Jharana Rai,Kathmandu,0,1,1,0,0,0,1,0,0,3.0,long_term_shelter__housing,3.0,building_mater,4.0,,4.0,,3.0,first_come__fi,4.0,3.0,3.0,
735531,Paras Ranjit,Lalitpur,0,0,1,0,0,1,0,0,0,1.0,long_term_shelter__housing,1.0,building_mater,5.0,,2.0,building_mater,1.0,based_on_caste,4.0,1.0,1.0,
740263,Bishnu bajgain,Lalitpur,0,0,1,0,0,0,1,0,0,5.0,,1.0,building_mater,5.0,,,,5.0,,5.0,5.0,5.0,
739925,Bishnu bajgain,Lalitpur,0,0,0,1,0,0,1,0,0,,,1.0,building_mater,,,1.0,building_mater,1.0,based_on_caste,1.0,1.0,1.0,
725369,Shyam Prasad Katiwada,Dolakha,0,0,1,0,0,0,0,1,0,2.0,long_term_shelter__housing,2.0,building_mater,3.0,news_about_government_decision,2.0,cash_for_work,2.0,based_on_caste,2.0,1.0,3.0,
725371,Arjun Prasad Khatiwada,Dhading,0,0,0,0,0,0,1,0,0,1.0,long_term_shelter__housing,2.0,cash_for_work,4.0,,2.0,building_mater,2.0,first_come__fi,,,2.0,
725375,jagadish kunwar,Bhaktapur,1,0,1,1,0,0,1,0,0,1.0,long_term_shelter__housing,,,3.0,how_to_get_shelter_materials,1.0,housing_inspec,1.0,based_on_polit,2.0,1.0,1.0,financial_support
725368,santosh raut,Dolakha,1,0,1,0,0,0,1,0,0,1.0,long_term_shelter__housing,1.0,cash_for_work,1.0,how_to_register_for_access_sup,2.0,cash_for_work,1.0,based_on_caste,,1.0,1.0,long_term_shelter__housing
725364,Rajkumar Parajuli,Kavrepalanchok,0,1,1,0,0,0,1,0,0,1.0,long_term_shelter__housing,1.0,building_mater,1.0,news_about_government_decision,1.0,building_mater,1.0,based_on_caste,2.0,1.0,2.0,
725365,Sarita Shrestha,Ramechhap,0,1,1,1,0,0,1,0,0,1.0,long_term_shelter__housing,5.0,,1.0,how_to_get_shelter_materials,5.0,,5.0,,1.0,1.0,1.0,
735509,Paras Ranjit,Lalitpur,1,0,1,0,0,1,0,0,0,2.0,long_term_shelter__housing,1.0,building_mater,4.0,,2.0,cash_for_work,1.0,first_come__fi,4.0,1.0,1.0,long_term_shelter__housing
741799,Bhumraj Tiwari,Nuwakot,0,1,1,0,0,1,0,0,0,2.0,clean_water,2.0,building_mater,4.0,,4.0,,3.0,based_on_polit,2.0,2.0,2.0,
724321,Ganga Nepal,Sindhupalchowk,1,0,1,0,0,0,0,0,1,1.0,short_term_she,3.0,other,1.0,other,4.0,,3.0,based_on_polit,1.0,1.0,1.0,long_term_shelter__housing
725646,Sarita Shrestha,Ramechhap,1,1,1,1,0,0,1,0,0,1.0,long_term_shelter__housing,1.0,cash_for_work,1.0,how_to_get_shelter_materials,5.0,,3.0,only_if_damage,1.0,1.0,,
725644,Lakshmi B.K,Sindhuli,1,1,1,0,0,0,1,0,0,3.0,clean_water,5.0,,3.0,finding_missing_people,5.0,,4.0,,4.0,3.0,5.0,
724776,jagadish kunwar,Bhaktapur,1,1,1,0,0,0,1,0,0,1.0,long_term_shelter__housing,2.0,cash_for_work,2.0,news_about_government_decision,4.0,,5.0,,,2.0,1.0,long_term_shelter__housing
725363,Raj Gurung,Gorkha,0,0,1,0,0,0,1,0,0,1.0,long_term_shelter__housing,2.0,cash_for_work,4.0,,,,3.0,based_on_dista,4.0,3.0,4.0,
724795,Bishal Adhikari,Gorkha,0,1,1,0,0,0,1,0,0,1.0,long_term_shelter__housing,3.0,cash_for_work,3.0,how_to_register_for_access_sup,4.0,,4.0,,3.0,2.0,4.0,
724721,Gagan Jung Thapa,Sindhuli,1,0,0,0,1,0,1,0,0,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,5.0,5.0,
732253,Sanjeet shrestha,Dolakha,0,1,1,0,0,0,1,0,0,1.0,long_term_shelter__housing,1.0,building_mater,1.0,news_about_government_decision,2.0,cash_for_work,4.0,,4.0,1.0,1.0,
722322,Arjun Prasad Paudel,Rasuwa,0,1,1,0,0,0,1,0,0,1.0,long_term_shelter__housing,5.0,,1.0,news_about_government_decision,4.0,,4.0,,4.0,1.0,4.0,
722328,Arjun Prasad Paudel,Rasuwa,0,1,0,0,0,0,1,0,0,1.0,long_term_shelter__housing,1.0,cash_for_work,1.0,news_about_government_decision,1.0,cash_for_work,1.0,based_on_dista,4.0,4.0,1.0,
722336,Arjun Prasad Paudel,Rasuwa,0,0,1,0,0,0,1,0,0,1.0,short_term_she,4.0,,1.0,news_about_government_decision,4.0,,4.0,,5.0,1.0,5.0,
722349,Arjun Prasad Paudel,Rasuwa,0,1,1,1,0,0,1,0,0,1.0,long_term_shelter__housing,4.0,,1.0,news_about_government_decision,2.0,building_mater,5.0,,4.0,1.0,4.0,
722352,Keshav Paudel,Kavrepalanchok,1,0,0,0,0,1,0,0,0,1.0,long_term_shelter__housing,1.0,building_mater,1.0,news_about_government_decision,1.0,building_mater,1.0,based_on_polit,1.0,1.0,1.0,toilets_sanitation
722358,Arjun Prasad Paudel,Rasuwa,0,0,1,0,0,0,1,0,0,1.0,long_term_shelter__housing,2.0,cash_for_work,1.0,news_about_government_decision,4.0,,4.0,,4.0,1.0,4.0,
722380,Keshav Paudel,Kavrepalanchok,0,0,1,0,0,1,0,0,0,1.0,long_term_shelter__housing,1.0,building_mater,2.0,news_about_government_decision,1.0,building_mater,2.0,based_on_caste,1.0,1.0,1.0,
722470,Arjun Prasad Paudel,Rasuwa,0,1,1,0,0,0,1,0,0,1.0,long_term_shelter__housing,2.0,cash_for_work,2.0,news_about_government_decision,1.0,cash_for_work,1.0,based_on_polit,5.0,1.0,4.0,
722968,Arjun Prasad Paudel,Rasuwa,0,0,1,0,0,0,1,0,0,1.0,long_term_shelter__housing,1.0,building_mater,1.0,news_about_government_decision,1.0,building_mater,1.0,based_on_polit,5.0,1.0,4.0,
723030,keshav paudel,Kavrepalanchok,0,1,1,0,0,1,0,0,0,1.0,long_term_shelter__housing,2.0,cash_for_work,2.0,news_about_government_decision,2.0,building_mater,1.0,based_on_caste,1.0,1.0,1.0,
723034,Arjun Prasad Paudel,Rasuwa,0,1,1,0,0,0,1,0,0,1.0,long_term_shelter__housing,5.0,,1.0,news_about_government_decision,4.0,,2.0,based_on_polit,4.0,1.0,4.0,
723036,Bhimraj Gurung,Gorkha,0,1,0,0,0,0,1,0,0,1.0,long_term_shelter__housing,3.0,cash_for_work,4.0,,3.0,cash_for_work,4.0,,3.0,3.0,4.0,
723047,keshav Paudel,Kavrepalanchok,1,0,1,0,0,1,0,0,0,2.0,long_term_shelter__housing,1.0,building_mater,1.0,news_about_government_decision,1.0,building_mater,1.0,based_on_caste,1.0,1.0,1.0,toilets_sanitation
723051,Arjun Prasad paudel,Rasuwa,0,0,1,1,0,0,1,0,0,1.0,long_term_shelter__housing,4.0,,1.0,news_about_government_decision,5.0,,2.0,based_on_polit,4.0,1.0,4.0,
723053,Dharmendra Dahal,Makwanpur,0,0,0,0,0,1,0,0,0,1.0,short_term_she,1.0,building_mater,1.0,news_about_government_decision,1.0,building_mater,1.0,first_come__fi,1.0,1.0,1.0,
723057,umesh thapa,Bhaktapur,0,1,0,0,0,0,1,0,0,4.0,,4.0,,4.0,,5.0,,4.0,,5.0,4.0,4.0,
723059,Bhimraj Gurung,Gorkha,0,0,1,0,0,0,1,0,0,1.0,long_term_shelter__housing,3.0,cash_for_work,4.0,,3.0,cash_for_work,4.0,,2.0,3.0,4.0,
723063,Arjun prasad Paudel,Rasuwa,0,0,0,0,0,0,1,0,0,1.0,long_term_shelter__housing,2.0,cash_for_work,1.0,news_about_government_decision,2.0,cash_for_work,2.0,based_on_caste,4.0,1.0,2.0,
723065,Dharmendra Dahal,Makwanpur,1,1,0,0,0,0,0,0,1,1.0,long_term_shelter__housing,1.0,building_mater,1.0,how_to_register_for_access_sup,2.0,cash_for_work,1.0,based_on_polit,1.0,1.0,1.0,financial_support
723067,Arjun Parasad Paudel,Rasuwa,0,1,1,1,0,0,1,0,0,1.0,long_term_shelter__housing,3.0,cash_for_work,1.0,news_about_government_decision,1.0,building_mater,4.0,,2.0,1.0,4.0,
723076,Dhamendra Dahal,Makwanpur,0,0,0,0,0,1,0,0,0,1.0,housing_inspections,1.0,building_mater,4.0,,2.0,cash_for_work,1.0,based_on_polit,3.0,2.0,2.0,
723077,Lakshmi B.K,Sindhuli,0,0,1,1,0,0,1,0,0,1.0,short_term_she,1.0,building_mater,1.0,news_about_government_decision,1.0,cash_for_work,1.0,first_come__fi,1.0,1.0,1.0,
723079,Arjun Prasad Paudell,Rasuwa,1,0,0,1,0,1,0,0,0,1.0,long_term_shelter__housing,4.0,,1.0,news_about_government_decision,4.0,,2.0,based_on_polit,4.0,2.0,2.0,long_term_shelter__housing
723083,Namin prajapati,Bhaktapur,0,0,0,0,0,0,1,0,0,3.0,healthcare,4.0,,4.0,,3.0,housing_inspec,3.0,only_if_damage,4.0,3.0,3.0,
723084,Arjun PRAsad Paudel,Rasuwa,0,0,1,1,0,1,0,0,0,1.0,long_term_shelter__housing,1.0,building_mater,1.0,news_about_government_decision,2.0,building_mater,4.0,,1.0,1.0,4.0,
723085,Dhamendra Dhamal,Makwanpur,0,1,0,0,0,1,0,0,0,2.0,long_term_shelter__housing,1.0,housing_inspec,2.0,news_about_government_decision,1.0,housing_inspec,1.0,based_on_polit,1.0,1.0,1.0,
723087,Bhimraj Gurung,Gorkha,0,0,1,0,0,0,1,0,0,4.0,,3.0,building_mater,2.0,how_to_get_shelter_materials,2.0,building_mater,4.0,,2.0,4.0,3.0,
723098,Maheswor Subedi,Dhading,0,0,0,0,0,1,0,0,0,2.0,long_term_shelter__housing,2.0,cash_for_work,5.0,,2.0,building_mater,2.0,first_come__fi,5.0,1.0,1.0,
